Task,Label
analyze Gal for his commemoration which is tomorrow next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
read a new hand mirror by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
schedule preliminary idea report by 8:20 a.m. on Friday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
buy the updated budget worker to Noam by next Wednesday at 3AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
book the photo album by the 12th at 11:45 a.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
prepare tickets for the gathering on jun 7th at 3:25 am.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
Need to clean the gym bag before the protest on august 21st at 12:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
share the monthly performance review by the deadline on august 20th at 9:40.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
submit memorial for the client presentation this Wednesday at one,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
organize mail confirmation tomorrow at 4:25,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
on april 29th at 16 submit the project board meeting,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
i need to review a watch by Monday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
add tickets for the tournament on feb 27th at 2:40 am.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
complete a barber appointment on dec 15th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
prepare a electrician appointment for next Tuesday at 4:45 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
prepare Dad on her wedding which is on the 6th at 10 PM.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
prepare meeting for the product launch this Tuesday at 5,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
email the sales report by the 16th at 1:45 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to analyze a notebook for the board meeting by Thursday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
Remember to prioritize with Laura about the math quiz scheduled for Thursday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
read tickets for the fair on october 18th at 2:15 pm.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
check a optometrist appointment on october 29th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
reserve the laptop report in six days at 7:15 am,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finish a nurse appointment on jan 7th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
study a doctor to inspect the computer by today at 4 AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
reserve preliminary idea report by 7:00 pm on Monday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
share a barber appointment on march 22nd around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
learn Gal for his protest which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
analyze the report and check it by Wednesday at seven a.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
add the laptop and laptop by sep 17th at 4:00 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
update a taxi for the client presentation on Thursday by tomorrow at 4:50,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
return a optometrist to inspect the phone by tomorrow at 2 p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
don't forget to share the ritual tickets by today at 9:50,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
review parade tickets tomorrow at 8:00 pm.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
finish reading chapter 29 of panel discussion book until the 2nd of august,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
clean a garden follow-up by the 31st in 11,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
prepare the project report by 7PM on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
i need to finalize the board meeting in Clarkton after 6:45 this Sunday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
complete the new code made by Dad until Monday at 9:00,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
call William for his commemoration which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
watch Boss in eleven days around 15,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
prioritize a table at Lia's for Thursday at 9:25 pm,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finish reading chapter 82 of team lunch book until the 22nd of nov,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
learn a chef appointment on jan 27th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
update a doctor to inspect the intern by today at 3 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
coordinate a doctor to inspect the code by tomorrow at five PM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
check carnival tickets tomorrow at 4:30 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
plan the shower gel before the carnival on Friday at 10:30,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
update a rideshare for the protest which is on Thursday by today at 6:50,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
drop off my dry cleaning in 10 days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
add tickets for the gathering on jun 11th at 11:15 pm.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
schedule the monthly performance review by the deadline on september 10th at 2:15.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
submit the worker tomorrow,"B-Task,O,B-Task,B-Date"
remind me to finish the team lunch report before Saturday at 9:45 am,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
prepare the monthly performance review by the deadline on february 16th at 9:10.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
analyze graduation for the networking event this Wednesday at 5,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
plan code for the concert scheduled at noon on october 16th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
prioritize the paper tray by the 3rd at 6:45 a.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
learn a rideshare for the celebration which is on Friday by tomorrow at 8:40,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
prepare the UI mockup by the 11th at 9:45 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
clean the project report by 9p.m. on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
complete Noam in 3 days around 15,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
confirm a taxi for the team meeting on Sunday by tomorrow at 4:25,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
reserve tickets for the meeting on december 17th at 8:40 pm.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
watch fair for the team meeting this Thursday at 5,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
practice a new coffee table by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
prepare the project report by 2pm on Wednesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
on nov 2nd at 24 complete the project trade show,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
finalize a rideshare for the tribute which is on Monday by tomorrow at 6:15,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
check out my dry cleaning in 4 days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
email the project report by 12PM on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
Need to send the gym bag before the fair on dec 7th at 6:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i have to clean the presentation for the math quiz at twelve AM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
mow Gal on her carnival which is on the 27th at 9 p.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
update the photo album hammer to Madison by next Wednesday at 7p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
analyze James on her ritual which is on the 13th at one a.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
sort out the book that Shani needs for the birthday happening tomorrow at 2:15pm,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
prioritize Dror to submit the ruler by midnight on the 7th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
book the report and email it by Friday at 2 AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to add an update mail to the team at 4:40 pm tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
clean a table at Dror's for Monday at 9:20 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
schedule the trousers before 11 p.m. today and then review,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
check out the notebook that Grandpa needs for the parade happening tomorrow at 8:45pm,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
buy a doctor to inspect the garden by tomorrow at twelve a.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
schedule preliminary idea report by 2:15 AM on Sunday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
i need to reserve a banana by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
share Grandpa for his demonstration which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
i need to clean the tech conference in Christianton after 8:45 this Monday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
i need to prioritize chapter eleven of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
design the hammer tomorrow,"B-Task,O,B-Task,B-Date"
schedule Dror for his carnival which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
reserve the new lawn made by John until Monday at 8:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
prepare haircut for the client presentation this Wednesday at 9,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to coordinate an update mail to the team at 7:45 am today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
finish the report and share it by Monday at 5 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
call a rideshare for the reunion which is on Monday by today at 1:25,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
watch the new dishes made by Gal until Tuesday at 11:00,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
learn the sales report printer to Ron by next Monday at 3AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
tomorrow i have to book the printer for the aug lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
review a rideshare for the celebration which is on Saturday by today at 10:10,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
manage lyrics for the commemoration on january 8th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
look into Noa's medical prescriptions on may 21st at 2:45 AM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
clean lyrics for the rally on february 13th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
don't forget to send the reunion tickets by tomorrow at 11:20,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
call a garden follow-up by the 9th in 3,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i need to plan an update mail to the team at 11:20 p.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
organize the phone case by the 22nd at 12:20 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
read fair tickets tomorrow at 1:10 a.m..,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
plan a nurse to inspect the keyboard by tomorrow at 11 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
prepare the new notebook about onboarding next Sunday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
i have to organize the presentation for the panel discussion at seven am today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
coordinate the hand mirror charger to Tahel by next Monday at 9a.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
plan laptop for the party scheduled at noon on february 10th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
review the sales report before the interviewceremony on Friday at 3:25,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
finish a table at Mom's for Monday at 2:30 am,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
learn for the board meeting on Tuesday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
check lyrics for the wedding on jul 18th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
i need to arrange the networking event in Esteston after 12:10 this Saturday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
check a plumber appointment for next Sunday at 12:25 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
design a table at John's for Sunday at 6:50 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
read Daniel on her festival which is on the 11th at nine a.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
attend Boss on her carnival which is on the 9th at ten PM.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finalize the new worker about onboarding next Wednesday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
Remember to design with Shani about the panel discussion scheduled for Wednesday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
email haircut tickets today at 6:30 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
remind me to finalize the training session report before Sunday at 7:10 p.m.,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to mow a note by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
i need to reserve the panel discussion in Bullockview after 5:30 this Friday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
email for the client presentation on Saturday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
coordinate Gal to test the notebook by midnight on the 17th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
remind me to send the panel discussion report before Friday at 2:00 a.m.,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
return the presentation and presentation by march 30th at 2:30 pm,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
finish reading chapter 97 of press conference book until the 14th of june,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
submit rally for the math quiz this Wednesday at 3,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prepare tournament for the tech conference this Wednesday at eleven,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
Need to submit the hand mirror before the memorial on jun 21st at 3:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
return the laptop and laptop by aug 16th at 8:00 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
drop off the tablet for the physics project that is in 2 weeks at 8:45 a.m.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Remember to finish with Tahel about the panel discussion scheduled for Thursday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
i have to organize the presentation for the client presentation at ten AM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
sort out the lawn that Dror needs for the celebration happening tomorrow at 2:10PM,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
plan the clock today,"B-Task,O,B-Task,B-Date"
i need to book a laptop by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
study code for the concert scheduled at noon on july 28th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
finish Wendy to send the banana by midnight on the 27th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
manage apple for the webinar scheduled at noon on may 29th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
on october 15th at 5 finish the project product launch,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
i need to share chapter 9 of the biology textbook by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
reserve a nurse to inspect the monitor by tomorrow at 12 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finish Amber on her demonstration which is on the 7th at two PM.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
coordinate lyrics for the flight on january 3rd at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
i have to submit the presentation for the tech conference at four a.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
reserve inventory levels for the Lake Daniel branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
tomorrow i have to prepare the notebook for the october lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
mow Gal's parade gift before august 16th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
analyze the computer today,"B-Task,O,B-Task,B-Date"
go through the slide that John needs for the vacation happening tomorrow at 3:15pm,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
prepare webinar for the math quiz this Wednesday at 2,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
confirm a table at Shani's for Wednesday at 2:15 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
confirm the printer today,"B-Task,O,B-Task,B-Date"
confirm Dror's trip gift before june 31st,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
plan Noam on her trip which is on the 12th at ten pm.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
arrange Noa's reunion gift before jul 5th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
mow webinar tickets tomorrow at 5:50 a.m..,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
tomorrow i have to update the apple for the dec lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
on october 29th at 16 prepare the project team meeting,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
i need to send a phone for the networking event by Friday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
Remember to reserve with Noam about the press conference scheduled for Sunday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
confirm for the product launch on Wednesday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
finish a new updated budget by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
call Ron to send the watch by midnight on the 24th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
remind me to call the physics project report before Monday at 3:50 pm,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
reserve Grandpa on her memorial which is on the 29th at 2 a.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
book Dana's graduation gift before june 14th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i have a product launch scheduled for Thursday next week at 6:00,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
i have a trade show scheduled for Saturday next week at 12:15,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
arrange the monthly performance review by the deadline on june 29th at 8:10.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
learn lyrics for the webinar on november 24th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
test lyrics for the flight on september 14th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
email parade tickets today at 2:20 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
analyze Ron's webinar gift before dec 3rd,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to clean chapter six of the biology textbook by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
Remember to confirm with Lia about the trade show scheduled for Thursday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
i need to email a laptop for the press conference by Thursday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
manage the coffee table before the haircut on Tuesday at 9:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
i have to manage the presentation for the project timeline at one a.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
I'm having a reunion with Daniel at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
i have to email the presentation for the press conference at seven PM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
test the project report by 4am on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
return conference for the trade show this Friday at 8,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
deal with Dana's medical prescriptions on april 12th at 3:10 PM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
coordinate the notebook before eight AM tomorrow and then test,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
coordinate the new charger made by Tahel until Tuesday at 11:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
design the table report in 2 days at 5:20 PM,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
check Dror about the client presentation by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
drop off my dry cleaning in one days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
clean Dror's graduation gift before december 15th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to manage chapter 3 of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
i need to complete chapter ten of the biology textbook by Monday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
on january 16th at 21 coordinate the project team lunch,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
coordinate a table at Noam's for Monday at 7:30 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to study a trousers by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
follow up the monthly expense summary by the deadline on feb 3rd at 3:45,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
don't forget to analyze the tribute tickets by tomorrow at 12:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
remind me to complete the training session report before Saturday at 9:30 am,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finalize Tyler in one days around 16,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
i need to book an update mail to the team at 2:40 am today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
practice Noam about the panel discussion by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
I'm having a celebration with Shani at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
i need to share a banana for the math quiz by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
